2014-06-30 05:38:37 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\right.ctp, line 85]
2014-06-30 05:39:30 Debug: Notice (8): Undefined offset: 0 in [E:\xampp\htdocs\websitetemplate\app\controllers\shops_controller.php, line 20]
2014-06-30 05:39:30 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\websitetemplate\app\views\shops\index.ctp, line 51]
2014-06-30 05:39:30 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 10]
2014-06-30 05:39:30 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 279]
2014-06-30 05:39:30 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 15]
2014-06-30 05:39:30 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 17]
2014-06-30 05:39:30 Debug: Notice (8): Undefined variable: template in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 31]
2014-06-30 05:39:30 Debug: Notice (8): Undefined offset: 0 in [E:\xampp\htdocs\websitetemplate\app\controllers\shops_controller.php, line 120]
2014-06-30 05:39:30 Debug: Notice (8): Undefined variable: template in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 59]
2014-06-30 05:39:30 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\left.ctp, line 42]
2014-06-30 05:39:30 Debug: Notice (8): Undefined offset: 0 in [E:\xampp\htdocs\websitetemplate\app\controllers\shops_controller.php, line 323]
2014-06-30 05:39:30 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\right.ctp, line 66]
2014-06-30 05:39:30 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\right.ctp, line 85]
2014-06-30 05:55:26 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 50]
2014-06-30 05:55:26 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 65]
2014-06-30 05:55:26 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 66]
2014-06-30 05:55:26 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 417]
2014-06-30 05:55:26 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 428]
2014-06-30 05:56:21 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 50]
2014-06-30 05:56:21 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 65]
2014-06-30 05:56:21 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 66]
2014-06-30 05:56:21 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 417]
2014-06-30 05:56:25 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 50]
2014-06-30 05:56:25 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 65]
2014-06-30 05:56:25 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 66]
2014-06-30 05:56:25 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 417]
2014-06-30 05:56:38 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 50]
2014-06-30 05:56:38 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 65]
2014-06-30 05:56:38 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 66]
2014-06-30 05:56:38 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 417]
2014-06-30 05:57:11 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 50]
2014-06-30 05:57:11 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 65]
2014-06-30 05:57:11 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 66]
2014-06-30 05:57:11 Debug: Notice (8): Undefined index: tengianhang in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 417]
2014-06-30 06:03:16 Debug: Notice (8): Undefined variable: template in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 31]
2014-06-30 06:03:32 Debug: Notice (8): Undefined variable: template in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 31]
2014-06-30 06:12:55 Debug: Notice (8): Undefined property: RegistrationshopController::$Shops in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 50]
2014-06-30 06:16:14 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
2014-06-30 06:16:14 Debug: Notice (8): Undefined variable: imagestems in [E:\xampp\htdocs\websitetemplate\app\views\temshop\index.ctp, line 34]
2014-06-30 06:16:15 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
2014-06-30 06:16:15 Debug: Notice (8): Undefined variable: imagestems in [E:\xampp\htdocs\websitetemplate\app\views\temshop\index.ctp, line 34]
2014-06-30 06:16:21 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 345]
2014-06-30 06:16:21 Debug: Notice (8): Undefined variable: imagestems in [E:\xampp\htdocs\websitetemplate\app\views\temshop\index.ctp, line 34]
2014-06-30 06:16:23 Debug: Notice (8): Undefined property: RegistrationshopController::$Shops in [E:\xampp\htdocs\websitetemplate\app\controllers\registrationshop_controller.php, line 15]
2014-06-30 06:28:12 Debug: Notice (8): Undefined variable: template in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 31]
2014-06-30 06:28:12 Debug: Notice (8): Undefined variable: template in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 59]
2014-06-30 08:38:43 Debug: Notice (8): Undefined variable: template in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 42]
2014-06-30 08:42:03 Debug: Notice (8): Undefined variable: template in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 43]
2014-06-30 08:51:39 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 69]
2014-06-30 08:54:19 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 69]
2014-06-30 08:55:58 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 69]
2014-06-30 08:59:48 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 69]
2014-06-30 09:00:01 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 69]
2014-06-30 09:00:04 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 69]
2014-06-30 09:00:06 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 69]
2014-06-30 09:00:08 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 69]
2014-06-30 09:00:10 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 69]
2014-06-30 09:12:06 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 69]
2014-06-30 09:12:28 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 69]
2014-06-30 09:13:06 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 27]
2014-06-30 09:16:24 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 27]
2014-06-30 09:16:32 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 27]
2014-06-30 09:16:38 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 27]
2014-06-30 09:25:18 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 31]
2014-06-30 09:41:21 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 31]
2014-06-30 09:41:30 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 31]
2014-06-30 09:41:42 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 31]
2014-06-30 09:43:47 Debug: Notice (8): Undefined variable: banner in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 31]
2014-06-30 09:44:11 Debug: Notice (8): Undefined variable: banner123 in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 31]
2014-06-30 09:44:27 Debug: Notice (8): Undefined variable: banner123 in [E:\xampp\htdocs\websitetemplate\app\views\elements\themeshop\template2\header.ctp, line 31]
2014-06-30 10:02:01 Debug: Notice (8): Undefined variable: user in [E:\xampp\htdocs\websitetemplate\app\controllers\comment_controller.php, line 347]
2014-06-30 10:02:01 Debug: Notice (8): Undefined variable: imagestems in [E:\xampp\htdocs\websitetemplate\app\views\temshop\index.ctp, line 34]
